# D_real	D_model
1180.8082	1237.0586
1468.8710	1350.7927
1332.5787	1271.3288
1738.0181	1906.6581
1238.0416	1164.1628
2189.7737	2109.0413
1427.5847	1270.6620
1409.8096	1318.2318
1059.6934	1117.3513
1005.3760	924.2294
857.9301	817.4399
1440.8300	1370.5229
1206.0842	1142.2574
2580.6596	2489.4196
2406.8322	2331.3702
2166.6555	2008.8377
1533.6942	1665.1027
1302.6788	1485.4387
2394.3442	2194.3199
1662.9206	1698.8623
2760.0190	2591.0407
1647.7400	1690.6357
1772.8906	1649.3602
1882.1501	1797.0495
1651.4966	1684.4952
2274.2522	2028.6678
2297.7247	2176.2622
1774.1161	1789.3630
2083.1560	1902.8552
2061.1194	1971.1819
2441.5180	2421.5284
1755.8946	1647.2893
2281.6235	2137.8730
1371.0996	1311.7187
2420.8379	2253.2490
2553.6795	2466.1590
1688.7347	1638.4752
856.2967	838.1843
2053.0100	1893.3745
1472.2367	1445.4252
1138.8011	1112.0854
1300.8632	1266.8133
945.6834	937.6449
1474.1923	1618.9673
1306.4325	1226.6560
2236.4025	2060.3230
1967.9581	1890.9080
1239.2260	1158.9107
1141.4648	1145.2279
1294.0711	1115.9776
1249.0809	1165.9623
1071.0859	1034.7116
1212.4949	1308.0119
952.0793	959.3289
1454.2520	1322.6829
1565.8314	1597.5056
1212.7795	1228.0831
1161.0560	1106.8166
724.2479	744.0000
1605.4594	1522.7370
1313.7599	1235.2684
1339.6783	1215.5608
2103.4769	1975.2800
3221.0787	3048.3522
2440.7439	2107.5220
1849.0576	1799.7750
1498.5470	1554.0245
3038.7522	2815.4289
2607.5682	2299.9020
2801.1414	2614.4546
1985.4669	1957.3094
2636.3909	2307.3233
2234.6539	2166.2491
2786.6708	2561.1404
1893.7856	1660.1813
1765.3951	1791.7260
2394.8332	2165.4810
2770.6380	2584.8230
2243.4333	2084.7069
1980.4651	1802.8788
3096.3301	3079.2168
1547.9109	1547.5697
1577.6118	1460.0380
2604.3489	2491.9360
1487.6898	1578.2183
2066.3649	1791.8231
2477.6503	2139.7245
3115.5496	3184.3944
1277.0337	1347.7151
2200.8060	2461.8966
1487.5964	1683.1286
1345.4011	1279.8539
2207.1269	2609.0889
1736.3928	1981.3177
1310.4537	1499.8753
1365.9176	1326.9186
1308.4323	1480.2621
1266.3432	1310.7277
1349.9493	1309.2219
1873.7996	1662.2527
1199.0342	1377.4313
1557.0051	1503.6891
976.4077	1084.9005
1430.9364	1504.2104
1172.1207	1296.5481
1481.6994	1475.7517
1802.6469	2138.3980
1108.5942	1275.7053
1491.2357	1325.9208
1036.8920	1165.1961
