# d_ij	D_ij  (Smith-Waterman)
94.0000	2007.5448
74.0000	1115.1161
96.0000	2182.3804
92.0000	1645.3158
39.0000	641.8504
104.0000	1405.0922
87.0000	1132.7400
83.0000	1359.8368
80.0000	928.5085
85.0000	1056.1117
63.0000	827.6110
45.0000	961.6798
71.0000	985.7687
72.0000	1080.7386
71.0000	864.2800
102.0000	1210.5222
71.0000	849.7035
94.0000	1402.3594
89.0000	1266.3728
74.0000	964.1556
88.0000	1273.0530
71.0000	1174.7766
99.0000	1179.2455
98.0000	1086.8781
110.0000	1350.5628
75.0000	1021.6085
76.0000	946.0655
53.0000	743.1312
95.0000	1248.2516
67.0000	986.3853
69.0000	851.0911
46.0000	850.6821
90.0000	1210.0000
55.0000	1075.7565
66.0000	964.6264
86.0000	1126.8931
99.0000	1421.8762
70.0000	710.5238
82.0000	993.3620
85.0000	873.1621
76.0000	1121.3171
86.0000	963.7137
55.0000	809.3429
74.0000	795.9347
58.0000	706.1246
70.0000	646.6560
70.0000	926.8009
79.0000	1065.3882
67.0000	785.5673
71.0000	1031.6492
79.0000	1095.2278
76.0000	1208.7746
61.0000	976.4732
99.0000	1494.6130
81.0000	1244.8373
86.0000	952.4705
86.0000	973.8029
73.0000	948.7782
94.0000	1249.7568
87.0000	1119.6732
73.0000	1181.6040
101.0000	1220.7981
90.0000	1126.4546
72.0000	956.7110
95.0000	1165.4270
77.0000	1399.8414
73.0000	1164.4140
53.0000	713.1031
76.0000	919.7869
57.0000	649.0270
86.0000	1052.6804
65.0000	773.7933
60.0000	611.5096
61.0000	723.2344
74.0000	872.9399
66.0000	805.8089
107.0000	1563.4360
60.0000	721.9280
86.0000	958.3444
51.0000	903.3737
84.0000	881.9773
90.0000	899.9733
103.0000	1039.9250
95.0000	835.7631
71.0000	734.0109
107.0000	1216.5311
106.0000	1280.6967
87.0000	721.6343
85.0000	734.0054
107.0000	1302.4147
109.0000	1180.7879
87.0000	733.0948
70.0000	596.3891
76.0000	1295.7608
93.0000	1634.2668
112.0000	1075.9126
120.0000	1177.4124
62.0000	790.8476
103.0000	1142.3292
112.0000	1343.7634
43.0000	742.5066
87.0000	1360.6925
62.0000	766.1801
88.0000	1247.2353
103.0000	1750.1920
29.0000	469.2505
86.0000	1078.4211
84.0000	1050.8435
67.0000	926.3585
91.0000	1096.6987
92.0000	1058.1077
87.0000	1021.5224
100.0000	1719.1870
94.0000	1303.3741
97.0000	1255.2307
89.0000	1061.8192
66.0000	855.7313
61.0000	819.2118
81.0000	913.8599
94.0000	1123.5942
87.0000	894.9972
100.0000	1206.4062
53.0000	1036.5500
83.0000	857.9394
101.0000	1088.9353
90.0000	942.2208
97.0000	919.6804
94.0000	999.5959
99.0000	1293.9289
99.0000	1429.2949
94.0000	1744.5137
107.0000	1749.4628
112.0000	1625.2766
113.0000	1444.5138
107.0000	1864.6834
107.0000	1848.5010
97.0000	1350.8146
130.0000	1321.3947
76.0000	1070.4205
109.0000	975.8996
55.0000	661.2443
64.0000	917.0649
84.0000	1512.9164
58.0000	793.7581
64.0000	823.8277
65.0000	957.2272
65.0000	962.6858
81.0000	1323.3095
90.0000	915.0104
88.0000	1227.0860
101.0000	1287.3150
32.0000	481.1819
45.0000	841.3489
76.0000	1074.4077
98.0000	1171.3633
82.0000	836.0144
80.0000	1020.1608
86.0000	972.6027
102.0000	1129.7876
87.0000	1025.6803
95.0000	1268.7143
65.0000	671.0440
87.0000	923.0623
99.0000	1237.4150
91.0000	1146.0419
117.0000	1070.0860
99.0000	1643.4561
109.0000	1518.0264
107.0000	1287.7655
94.0000	1860.8299
56.0000	682.2609
67.0000	956.2113
80.0000	1351.4126
47.0000	664.3764
73.0000	1199.9050
61.0000	747.6229
80.0000	1590.0164
66.0000	900.8751
86.0000	1445.6597
66.0000	998.5329
75.0000	941.6900
54.0000	621.6205
82.0000	889.0872
48.0000	588.4012
77.0000	1014.5285
88.0000	1086.6020
65.0000	709.3800
72.0000	908.2092
71.0000	778.8068
49.0000	684.8095
79.0000	939.4360
99.0000	1380.0507
60.0000	794.6572
81.0000	1762.5016
125.0000	1235.8398
71.0000	1218.2134
73.0000	1541.2891
98.0000	1112.0162
106.0000	1341.3680
122.0000	1275.8981
77.0000	1110.4828
59.0000	720.7357
58.0000	667.0652
53.0000	764.9549
88.0000	1270.9807
95.0000	1353.4090
76.0000	1176.4812
42.0000	756.0397
86.0000	1296.8392
92.0000	1720.9358
75.0000	1108.5107
33.0000	534.5840
103.0000	1129.3981
116.0000	1304.1089
102.0000	1223.4950
80.0000	864.2338
87.0000	874.1510
65.0000	881.2378
58.0000	580.9131
68.0000	801.2490
52.0000	735.5189
76.0000	802.5833
68.0000	904.3318
57.0000	843.9265
62.0000	1039.5903
51.0000	626.8493
118.0000	2179.4788
86.0000	1200.3166
90.0000	1281.1604
110.0000	1303.2912
104.0000	1446.5352
110.0000	1354.1625
132.0000	1153.3742
67.0000	876.5181
106.0000	1370.1796
91.0000	2058.5208
80.0000	972.0473
74.0000	839.8929
82.0000	904.8337
69.0000	828.0072
54.0000	988.8782
81.0000	1060.1189
91.0000	862.6355
69.0000	896.9036
110.0000	1006.0258
72.0000	784.9025
82.0000	848.3183
85.0000	897.8129
67.0000	1312.5929
65.0000	804.8428
62.0000	935.0807
78.0000	1561.6799
61.0000	833.8129
65.0000	1014.1893
67.0000	1028.1731
90.0000	1446.9692
81.0000	989.7050
65.0000	871.8509
77.0000	945.7970
71.0000	1016.9779
88.0000	1028.7449
115.0000	1421.3304
74.0000	1034.8063
86.0000	1065.0671
74.0000	1116.8169
62.0000	734.1934
79.0000	1089.3943
49.0000	899.2908
105.0000	1329.3292
68.0000	936.1389
88.0000	1703.3168
72.0000	1057.4365
84.0000	1306.7808
69.0000	979.8755
40.0000	749.9173
78.0000	1031.8876
77.0000	1124.7204
119.0000	1081.4675
78.0000	1022.4109
59.0000	828.8426
82.0000	1270.9839
85.0000	1171.8652
42.0000	523.9313
73.0000	938.5457
67.0000	776.0747
88.0000	1003.5397
89.0000	1167.2892
54.0000	649.2180
87.0000	1217.1130
103.0000	1345.3431
74.0000	818.0342
95.0000	919.8152
93.0000	1037.3832
90.0000	755.1715
98.0000	1150.4938
65.0000	768.7418
95.0000	1104.3749
96.0000	1120.8800
104.0000	1092.7946
90.0000	1159.9000
85.0000	937.7868
82.0000	970.4143
82.0000	870.4757
87.0000	851.7206
87.0000	1929.7160
93.0000	1094.3071
80.0000	978.8197
74.0000	822.2944
91.0000	1157.5059
98.0000	1572.9819
112.0000	1366.9572
91.0000	1045.9197
112.0000	993.6539
103.0000	1617.9431
79.0000	902.2261
96.0000	1448.6753
101.0000	1137.6766
121.0000	1283.1415
96.0000	1518.1700
106.0000	1328.2078
105.0000	1445.0564
96.0000	1402.7273
128.0000	1999.2259
89.0000	937.7612
86.0000	1504.0346
57.0000	1019.2487
54.0000	742.6035
45.0000	583.9281
53.0000	744.2285
49.0000	643.9720
85.0000	1630.2724
112.0000	1251.0843
106.0000	1280.1328
107.0000	1889.5788
108.0000	1439.3109
104.0000	1622.0555
75.0000	868.8222
68.0000	931.6051
