arm	study_id	study_group	pmid	compartment	family	n_samples	n_subjects	n_TRA	n_TRB	n_IGH	n_IGK	n_IGL
blood_reference	PRJNA701556	PMID:33995378	33995378	blood	sra	20	1	19	20	20	20	20
blood_reference	GSE206762	GSE206762		blood	sra	20	20	20	20	20	20	20
blood_reference	PRJNA603772	PMID:33037226	33037226	blood	sra	20	1	0	2	20	20	19
blood_reference	PRJNA928082	PRJNA928082		blood	sra	20	1	20	20	20	20	20
blood_reference	SRP168964	SRP168964		blood	sra	20	2	20	20	20	20	20
blood_reference	GSE79027	PMID:27694195	27694195	blood	sra	20	3	19	19	20	20	20
blood_reference	PRJNA1148313	PRJNA1148313		blood	sra	20	1	20	20	5	20	20
blood_reference	SRP150654	SRP150654		blood	sra	19	17	16	18	19	19	18
blood_reference	SRP307688	SRP307688		blood	sra	19	19	18	19	19	19	19
blood_reference	GSE224046	GSE224046		blood	sra	19	1	19	10	19	19	16
blood_reference	GSE189136	PMID:35002734.0	35002734.0	blood	sra	19	19	19	19	19	19	19
blood_reference	GSE234008	GSE234008		blood	sra	19	19	18	18	19	19	15
blood_reference	PRJNA761345	PRJNA761345		blood	sra	19	1	19	19	8	19	19
blood_reference	GSE215999	GSE215999		blood	sra	18	7	14	17	16	17	13
blood_reference	PRJNA743095	PMID:35777820	35777820	blood	sra	18	1	15	18	15	13	12
blood_reference	GSE297198	GSE297198		blood	sra	18	18	16	18	18	18	18
blood_reference	GSE126091	PMID:30279092	30279092	blood	sra	18	5	18	18	18	18	17
blood_reference	GSE211599	GSE211599		blood	sra	18	18	18	18	18	18	18
blood_reference	PRJNA638653	PMID:33482742	33482742	blood	sra	18	1	18	18	18	18	18
blood_reference	PRJNA929482	PRJNA929482		blood	sra	18	1	14	3	18	18	15
blood_reference	SRP431303	SRP431303		blood	sra	18	11	8	11	18	18	17
blood_reference	GSE260981	GSE260981		blood	sra	18	12	7	17	9	17	10
blood_reference	GSE180014	GSE180014		blood	sra	18	18	15	16	18	18	18
blood_reference	GSE115525	GSE115525		blood	sra	18	18	0	1	18	18	13
blood_reference	GSE245018	GSE245018		blood	sra	18	18	17	17	18	18	17
blood_reference	GSE149947	GSE149947		blood	sra	18	18	10	16	4	18	18
blood_reference	GSE222393	GSE222393		blood	sra	17	17	12	14	17	17	17
blood_reference	GSE150587	PMID:33308163	33308163	blood	sra	17	12	17	17	16	17	17
blood_reference	PRJNA821871	PRJNA821871		blood	sra	17	1	7	13	17	17	17
blood_reference	GSE53655	PMID:24608128	24608128	blood	sra	17	10	17	17	17	17	17
blood_reference	PRJNA702558	PMID:33758879	33758879	blood	sra	17	1	17	17	16	16	16
blood_reference	GSE108665	GSE108665		blood	sra	17	1	15	16	16	17	16
blood_reference	GSE77929	GSE77929		blood	sra	17	7	16	16	17	16	15
blood_reference	GSE218664	GSE218664		blood	sra	17	17	7	15	14	16	15
blood_reference	SRP453015	SRP453015		blood	sra	17	11	11	17	17	17	17
blood_reference	PRJNA305001	PMID:28611780	28611780	blood	sra	17	1	2	14	17	15	17
blood_reference	PRJNA803431	PRJNA803431		blood	sra	16	1	16	16	3	16	16
blood_reference	GSE159094	GSE159094		blood	sra	16	4	5	16	8	16	13
